sample_id,timestamp,dl_mcs,ul_mcs,dl_snr_db,ul_snr_db,dl_rssi_dbm,ul_rssi_dbm,dl_rate_raw,dl_rate_mbps,source
63,2026-01-28 17:30:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
64,2026-01-28 18:13:01-05:00,105.0,105.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
65,2026-01-28 18:56:01-05:00,103.0,105.0,20.0,21.0,-76.0,-77.0,68M,68.0,anonymized_sample
66,2026-01-28 19:42:01-05:00,104.0,104.0,19.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
67,2026-01-28 20:31:01-05:00,104.0,105.0,19.0,21.0,-77.0,-76.0,103M,103.0,anonymized_sample
68,2026-01-28 21:19:01-05:00,105.0,104.0,19.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
69,2026-01-28 22:07:01-05:00,105.0,104.0,19.0,21.0,-77.0,-77.0,137M,137.0,anonymized_sample
70,2026-01-28 22:52:01-05:00,103.0,105.0,20.0,20.0,-76.0,-78.0,68M,68.0,anonymized_sample
71,2026-01-28 23:40:01-05:00,104.0,104.0,20.0,21.0,-76.0,-77.0,103M,103.0,anonymized_sample
72,2026-01-29 00:27:01-05:00,105.0,104.0,20.0,22.0,-76.0,-77.0,137M,137.0,anonymized_sample
73,2026-01-29 01:15:01-05:00,105.0,105.0,20.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
74,2026-01-29 02:00:01-05:00,105.0,104.0,20.0,23.0,-76.0,-76.0,137M,137.0,anonymized_sample
75,2026-01-29 02:45:01-05:00,105.0,104.0,20.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
76,2026-01-29 03:34:01-05:00,104.0,104.0,21.0,22.0,-76.0,-77.0,103M,103.0,anonymized_sample
77,2026-01-29 04:21:01-05:00,105.0,105.0,19.0,22.0,-77.0,-77.0,137M,137.0,anonymized_sample
78,2026-01-29 05:08:01-05:00,105.0,105.0,19.0,23.0,-77.0,-75.0,137M,137.0,anonymized_sample
79,2026-01-29 05:55:01-05:00,105.0,104.0,20.0,22.0,-78.0,-77.0,137M,137.0,anonymized_sample
80,2026-01-29 06:40:01-05:00,104.0,105.0,20.0,21.0,-76.0,-77.0,103M,103.0,anonymized_sample
81,2026-01-29 07:25:01-05:00,105.0,104.0,21.0,22.0,-76.0,-77.0,68M,68.0,anonymized_sample
82,2026-01-29 08:11:01-05:00,103.0,104.0,21.0,22.0,-76.0,-77.0,68M,68.0,anonymized_sample
83,2026-01-29 08:58:01-05:00,105.0,104.0,21.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
84,2026-01-29 09:43:01-05:00,105.0,104.0,21.0,21.0,-76.0,-78.0,137M,137.0,anonymized_sample
85,2026-01-29 10:27:01-05:00,104.0,104.0,21.0,22.0,-75.0,-77.0,103M,103.0,anonymized_sample
86,2026-01-29 11:08:01-05:00,105.0,104.0,21.0,22.0,-75.0,-75.0,137M,137.0,anonymized_sample
87,2026-01-29 11:52:01-05:00,105.0,105.0,20.0,23.0,-78.0,-75.0,137M,137.0,anonymized_sample
88,2026-01-29 12:38:01-05:00,104.0,104.0,21.0,22.0,-75.0,-76.0,103M,103.0,anonymized_sample
89,2026-01-29 13:22:01-05:00,104.0,105.0,24.0,22.0,-72.0,-76.0,103M,103.0,anonymized_sample
90,2026-01-29 14:12:01-05:00,105.0,105.0,21.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
91,2026-01-29 14:59:01-05:00,103.0,104.0,20.0,22.0,-78.0,-76.0,68M,68.0,anonymized_sample
92,2026-01-29 15:42:01-05:00,104.0,104.0,20.0,21.0,-78.0,-77.0,103M,103.0,anonymized_sample
93,2026-01-29 16:27:01-05:00,104.0,104.0,20.0,21.0,-78.0,-78.0,103M,103.0,anonymized_sample
94,2026-01-29 17:14:01-05:00,104.0,104.0,20.0,20.0,-76.0,-79.0,103M,103.0,anonymized_sample
95,2026-01-29 17:57:01-05:00,105.0,104.0,20.0,21.0,-76.0,-76.0,137M,137.0,anonymized_sample
96,2026-01-29 18:42:01-05:00,102.0,103.0,20.0,20.0,-76.0,-78.0,51M,51.0,anonymized_sample
97,2026-01-29 19:26:01-05:00,104.0,104.0,20.0,21.0,-76.0,-77.0,103M,103.0,anonymized_sample
98,2026-01-29 20:13:01-05:00,104.0,104.0,20.0,21.0,-76.0,-77.0,103M,103.0,anonymized_sample
99,2026-01-29 20:58:01-05:00,105.0,104.0,20.0,20.0,-76.0,-78.0,137M,137.0,anonymized_sample
100,2026-01-29 21:46:01-05:00,103.0,104.0,20.0,20.0,-76.0,-78.0,68M,68.0,anonymized_sample
101,2026-01-29 22:30:01-05:00,104.0,104.0,20.0,21.0,-76.0,-77.0,103M,103.0,anonymized_sample
102,2026-01-29 23:17:01-05:00,104.0,104.0,20.0,21.0,-76.0,-76.0,103M,103.0,anonymized_sample
103,2026-01-30 00:03:01-05:00,105.0,104.0,20.0,22.0,-76.0,-77.0,137M,137.0,anonymized_sample
104,2026-01-30 00:49:01-05:00,105.0,105.0,21.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
105,2026-01-30 01:37:01-05:00,105.0,104.0,21.0,22.0,-76.0,-77.0,137M,137.0,anonymized_sample
106,2026-01-30 02:20:01-05:00,105.0,105.0,21.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
107,2026-01-30 03:04:01-05:00,105.0,105.0,21.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
108,2026-01-30 03:49:02-05:00,105.0,105.0,20.0,21.0,-76.0,-76.0,137M,137.0,anonymized_sample
109,2026-01-30 04:34:01-05:00,105.0,105.0,20.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
110,2026-01-30 05:18:01-05:00,105.0,106.0,20.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
111,2026-01-30 06:02:01-05:00,104.0,105.0,20.0,21.0,-76.0,-79.0,103M,103.0,anonymized_sample
112,2026-01-30 06:49:01-05:00,105.0,104.0,20.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
113,2026-01-30 07:34:01-05:00,105.0,104.0,20.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
114,2026-01-30 08:22:01-05:00,104.0,104.0,20.0,21.0,-76.0,-78.0,103M,103.0,anonymized_sample
115,2026-01-30 09:06:01-05:00,105.0,104.0,20.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
116,2026-01-30 09:49:01-05:00,104.0,104.0,20.0,22.0,-76.0,-77.0,103M,103.0,anonymized_sample
117,2026-01-30 10:35:01-05:00,104.0,105.0,20.0,21.0,-76.0,-77.0,103M,103.0,anonymized_sample
118,2026-01-30 11:21:01-05:00,106.0,104.0,19.0,22.0,-77.0,-76.0,77M,77.0,anonymized_sample
119,2026-01-30 12:04:01-05:00,104.0,105.0,20.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
120,2026-01-30 12:51:01-05:00,105.0,105.0,20.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
121,2026-01-30 13:39:01-05:00,105.0,104.0,20.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
122,2026-01-30 14:24:01-05:00,103.0,104.0,21.0,21.0,-77.0,-77.0,68M,68.0,anonymized_sample
123,2026-01-30 15:12:01-05:00,104.0,104.0,20.0,21.0,-78.0,-77.0,103M,103.0,anonymized_sample
124,2026-01-30 15:59:01-05:00,105.0,104.0,19.0,20.0,-77.0,-78.0,137M,137.0,anonymized_sample
125,2026-01-30 16:46:01-05:00,104.0,104.0,19.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
126,2026-01-30 17:32:01-05:00,105.0,103.0,19.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
127,2026-01-30 18:19:01-05:00,105.0,104.0,20.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
128,2026-01-30 19:05:01-05:00,104.0,104.0,21.0,22.0,-75.0,-76.0,103M,103.0,anonymized_sample
129,2026-01-30 19:52:01-05:00,103.0,104.0,20.0,22.0,-76.0,-75.0,68M,68.0,anonymized_sample
130,2026-01-30 20:37:01-05:00,105.0,104.0,20.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
131,2026-01-30 21:26:01-05:00,100.0,102.0,21.0,21.0,-75.0,-77.0,17M,17.0,anonymized_sample
132,2026-01-30 22:12:01-05:00,104.0,104.0,21.0,22.0,-75.0,-76.0,103M,103.0,anonymized_sample
133,2026-01-30 22:56:01-05:00,105.0,103.0,20.0,21.0,-76.0,-77.0,137M,137.0,anonymized_sample
134,2026-01-30 23:44:01-05:00,104.0,104.0,21.0,21.0,-75.0,-77.0,103M,103.0,anonymized_sample
135,2026-01-31 00:31:01-05:00,105.0,104.0,21.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
136,2026-01-31 01:19:01-05:00,104.0,105.0,21.0,22.0,-75.0,-76.0,103M,103.0,anonymized_sample
137,2026-01-31 02:04:01-05:00,105.0,103.0,21.0,21.0,-75.0,-77.0,137M,137.0,anonymized_sample
138,2026-01-31 02:55:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
139,2026-01-31 03:46:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
140,2026-01-31 04:35:01-05:00,104.0,105.0,20.0,22.0,-76.0,-76.0,103M,103.0,anonymized_sample
141,2026-01-31 05:25:01-05:00,104.0,105.0,21.0,22.0,-75.0,-76.0,103M,103.0,anonymized_sample
142,2026-01-31 06:16:01-05:00,104.0,104.0,21.0,21.0,-77.0,-77.0,103M,103.0,anonymized_sample
143,2026-01-31 07:03:01-05:00,104.0,105.0,21.0,21.0,-76.0,-77.0,103M,103.0,anonymized_sample
144,2026-01-31 07:53:01-05:00,105.0,104.0,23.0,22.0,-73.0,-76.0,137M,137.0,anonymized_sample
145,2026-01-31 08:41:01-05:00,105.0,105.0,21.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
146,2026-01-31 09:24:01-05:00,105.0,104.0,21.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
147,2026-01-31 10:10:01-05:00,105.0,105.0,21.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
148,2026-01-31 10:55:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
149,2026-01-31 11:46:01-05:00,100.0,101.0,20.0,22.0,-76.0,-76.0,8M,8.0,anonymized_sample
150,2026-01-31 12:30:01-05:00,205.0,105.0,20.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
151,2026-01-31 13:17:01-05:00,103.0,104.0,21.0,23.0,-75.0,-75.0,68M,68.0,anonymized_sample
152,2026-01-31 14:00:01-05:00,104.0,104.0,22.0,23.0,-74.0,-75.0,103M,103.0,anonymized_sample
153,2026-01-31 14:45:01-05:00,104.0,104.0,21.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
154,2026-01-31 15:35:01-05:00,105.0,104.0,23.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
155,2026-01-31 16:19:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
156,2026-01-31 17:08:01-05:00,104.0,105.0,21.0,22.0,-75.0,-76.0,103M,103.0,anonymized_sample
157,2026-01-31 17:53:01-05:00,105.0,105.0,21.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
158,2026-01-31 18:39:01-05:00,105.0,104.0,21.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
159,2026-01-31 19:25:01-05:00,102.0,103.0,21.0,21.0,-75.0,-77.0,51M,51.0,anonymized_sample
160,2026-01-31 20:12:01-05:00,104.0,104.0,21.0,21.0,-75.0,-77.0,103M,103.0,anonymized_sample
161,2026-01-31 21:01:01-05:00,105.0,104.0,20.0,21.0,-78.0,-77.0,137M,137.0,anonymized_sample
162,2026-01-31 21:52:01-05:00,104.0,104.0,21.0,21.0,-75.0,-77.0,103M,103.0,anonymized_sample
163,2026-01-31 22:38:01-05:00,105.0,104.0,21.0,21.0,-75.0,-77.0,137M,137.0,anonymized_sample
164,2026-01-31 23:29:01-05:00,105.0,104.0,21.0,20.0,-75.0,-78.0,137M,137.0,anonymized_sample
165,2026-02-01 00:21:01-05:00,104.0,103.0,21.0,19.0,-75.0,-79.0,103M,103.0,anonymized_sample
166,2026-02-01 01:09:01-05:00,104.0,104.0,21.0,21.0,-75.0,-77.0,103M,103.0,anonymized_sample
167,2026-02-02 19:20:01-05:00,104.0,104.0,23.0,22.0,-73.0,-75.0,103M,103.0,anonymized_sample
168,2026-02-02 20:04:01-05:00,104.0,104.0,21.0,23.0,-75.0,-75.0,103M,103.0,anonymized_sample
169,2026-02-02 20:50:01-05:00,104.0,104.0,21.0,22.0,-75.0,-76.0,103M,103.0,anonymized_sample
170,2026-02-02 21:35:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
171,2026-02-02 22:23:01-05:00,104.0,104.0,21.0,23.0,-75.0,-75.0,103M,103.0,anonymized_sample
172,2026-02-02 23:09:01-05:00,104.0,104.0,23.0,22.0,-74.0,-76.0,103M,103.0,anonymized_sample
173,2026-02-02 23:54:02-05:00,105.0,105.0,21.0,23.0,-77.0,-75.0,137M,137.0,anonymized_sample
174,2026-02-03 00:37:01-05:00,106.0,105.0,21.0,23.0,-75.0,-75.0,154M,154.0,anonymized_sample
175,2026-02-03 01:25:01-05:00,106.0,105.0,21.0,22.0,-76.0,-76.0,154M,154.0,anonymized_sample
176,2026-02-03 02:11:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
177,2026-02-03 02:58:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
178,2026-02-03 03:45:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
179,2026-02-03 04:33:01-05:00,106.0,105.0,21.0,23.0,-75.0,-75.0,154M,154.0,anonymized_sample
180,2026-02-03 05:22:01-05:00,104.0,104.0,21.0,23.0,-77.0,-75.0,103M,103.0,anonymized_sample
181,2026-02-03 06:06:01-05:00,105.0,105.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
182,2026-02-03 06:52:02-05:00,105.0,104.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
183,2026-02-03 07:40:01-05:00,105.0,104.0,21.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
184,2026-02-03 08:27:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
185,2026-02-03 09:12:01-05:00,105.0,105.0,22.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
186,2026-02-03 09:57:01-05:00,106.0,105.0,21.0,23.0,-77.0,-75.0,154M,154.0,anonymized_sample
187,2026-02-03 10:43:01-05:00,105.0,105.0,21.0,23.0,-75.0,-77.0,137M,137.0,anonymized_sample
188,2026-02-03 11:29:01-05:00,105.0,105.0,23.0,23.0,-74.0,-75.0,137M,137.0,anonymized_sample
189,2026-02-03 12:14:01-05:00,104.0,104.0,20.0,23.0,-77.0,-75.0,103M,103.0,anonymized_sample
190,2026-02-03 12:59:01-05:00,104.0,104.0,20.0,23.0,-77.0,-75.0,103M,103.0,anonymized_sample
191,2026-02-03 13:45:01-05:00,104.0,103.0,20.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
192,2026-02-03 14:29:01-05:00,107.0,105.0,22.0,21.0,-76.0,-77.0,86M,86.0,anonymized_sample
193,2026-02-03 15:14:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
194,2026-02-03 16:00:01-05:00,105.0,104.0,24.0,22.0,-73.0,-76.0,137M,137.0,anonymized_sample
195,2026-02-03 16:46:01-05:00,105.0,105.0,22.0,23.0,-75.0,-77.0,137M,137.0,anonymized_sample
196,2026-02-03 17:33:01-05:00,105.0,104.0,22.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
197,2026-02-03 18:17:01-05:00,105.0,104.0,22.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
198,2026-02-03 19:07:01-05:00,105.0,105.0,21.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
199,2026-02-03 19:55:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
200,2026-02-03 20:40:01-05:00,105.0,105.0,21.0,23.0,-77.0,-75.0,137M,137.0,anonymized_sample
201,2026-02-03 21:24:01-05:00,104.0,104.0,21.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
202,2026-02-03 22:09:01-05:00,105.0,105.0,22.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
203,2026-02-03 22:55:01-05:00,105.0,104.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
204,2026-02-03 23:40:01-05:00,105.0,106.0,22.0,23.0,-74.0,-75.0,137M,137.0,anonymized_sample
205,2026-02-04 00:28:01-05:00,104.0,104.0,21.0,22.0,-75.0,-78.0,103M,103.0,anonymized_sample
206,2026-02-04 01:16:01-05:00,104.0,104.0,22.0,23.0,-74.0,-75.0,103M,103.0,anonymized_sample
207,2026-02-04 02:02:01-05:00,106.0,105.0,21.0,23.0,-76.0,-75.0,154M,154.0,anonymized_sample
208,2026-02-04 02:49:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
209,2026-02-04 03:35:01-05:00,106.0,105.0,22.0,22.0,-74.0,-76.0,154M,154.0,anonymized_sample
210,2026-02-04 04:23:01-05:00,105.0,105.0,22.0,23.0,-74.0,-75.0,137M,137.0,anonymized_sample
211,2026-02-04 05:14:01-05:00,105.0,106.0,21.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
212,2026-02-04 05:58:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
213,2026-02-04 06:46:02-05:00,105.0,105.0,21.0,23.0,-77.0,-75.0,137M,137.0,anonymized_sample
214,2026-02-04 07:31:01-05:00,105.0,105.0,22.0,23.0,-75.0,-77.0,137M,137.0,anonymized_sample
215,2026-02-04 08:21:01-05:00,104.0,104.0,22.0,23.0,-75.0,-77.0,103M,103.0,anonymized_sample
216,2026-02-04 09:10:01-05:00,105.0,105.0,22.0,23.0,-74.0,-77.0,137M,137.0,anonymized_sample
217,2026-02-04 09:56:01-05:00,104.0,104.0,21.0,23.0,-77.0,-75.0,103M,103.0,anonymized_sample
218,2026-02-04 10:42:01-05:00,105.0,104.0,22.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
219,2026-02-04 11:24:01-05:00,105.0,105.0,23.0,22.0,-73.0,-76.0,137M,137.0,anonymized_sample
220,2026-02-04 12:09:01-05:00,103.0,105.0,21.0,23.0,-76.0,-75.0,68M,68.0,anonymized_sample
221,2026-02-04 12:52:01-05:00,105.0,105.0,21.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
222,2026-02-04 13:37:01-05:00,104.0,105.0,22.0,23.0,-74.0,-75.0,103M,103.0,anonymized_sample
223,2026-02-04 14:24:01-05:00,105.0,104.0,21.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
224,2026-02-04 15:09:01-05:00,105.0,105.0,21.0,23.0,-77.0,-75.0,137M,137.0,anonymized_sample
225,2026-02-04 15:53:01-05:00,104.0,105.0,22.0,24.0,-74.0,-74.0,103M,103.0,anonymized_sample
226,2026-02-04 16:35:01-05:00,103.0,105.0,21.0,23.0,-75.0,-75.0,68M,68.0,anonymized_sample
227,2026-02-04 17:19:01-05:00,104.0,105.0,21.0,22.0,-75.0,-76.0,103M,103.0,anonymized_sample
228,2026-02-04 18:05:01-05:00,105.0,104.0,22.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
229,2026-02-04 18:53:01-05:00,103.0,104.0,22.0,23.0,-76.0,-75.0,68M,68.0,anonymized_sample
230,2026-02-04 19:40:01-05:00,105.0,104.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
